code;experience;age;ranking;default_prin;default_int;default_both1;default;wpcentral;wpcity;wpcompany;wpother;wpdirector;wpmanager;wpspecialist;wpothers;cash;home100;liveparent;rent;newcustomer;notran;notran3;income2;spending2
20803747;36;37;BBB;1;1;1;1;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;5.5;10.5
20487203;180;40;A;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;4.56;5.56
20741817;228;48;AA;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;9;29
20614245;60;50;A;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;9.5;8
20532682;336;53;AA;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;17.5;20.5
20484643;456;58;AA;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;7;10
20283936;180;37;A;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;55;40
20247540;15;24;A;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;4;8
20607890;36;25;BB;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;2.5;10
20216831;36;25;BBB;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;3.25;5.75
20868122;48;25;BBB;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;3.5;6
20736806;24;26;BBB;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;3.5;9.5
20496631;36;26;BBB;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;3;28
20256310;48;26;A;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;4.25;9.25
20945022;60;27;BBB;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;3.4;7
20132674;30;28;BBB;1;1;1;1;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;3.5;5
20379540;48;28;BBB;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;1;0;0;3.4;2.4
20889748;84;30;BBB;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;4;15
20461757;96;33;AA;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;12.5;9.5
20494444;180;34;BBB;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;4.47;9.47
20449714;156;36;AA;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;5.5;10
20896034;360;49;A;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;4.5;6
20400528;312;50;BBB;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;3.5;7.5
20812187;120;53;AA;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;9.5;7
20795008;156;53;BBB;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;4;2
20461757;12;34;AA;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;20;16
20604892;24;23;BB;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;2.5;8
20460149;36;23;BB;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;3.8;3.8
20823557;48;26;BBB;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;3.5;3.5
20797185;132;29;BB;1;1;1;1;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;2.8;2.8
20854588;48;29;BB;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;3.6;10
20853209;48;29;BB;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;3.6;10
20056048;24;35;A;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;9.5;4.5
20115332;72;50;BBB;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;48;28
20884396;180;55;BB;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;3;8
10137995;49;26;AAA;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;7;13
20094242;36;26;AA;1;1;1;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;9;20
20698489;64;27;A;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;10;18
10300999;60;27;AAA;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;12.58;19.58
10135486;48;27;AA;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;6;13
10300999;60;28;AAA;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;11;10
10300999;72;28;AA;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;12;18
20001821;60;28;AAA;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;8;10
20574067;70;28;A;1;1;1;1;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;6;10
20030007;36;30;AA;1;1;1;1;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;10;15
20154829;48;30;AAA;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;24.6;26.6
20543816;120;32;AA;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;5;6
20645923;72;32;A;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;7.5;10
20936621;116;32;BBB;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;2.62;2
20736814;90;33;AA;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;45.9;35
10131948;132;34;AA;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;11.2;16.2
20546794;324;46;AAA;1;1;1;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;17;18
20529127;132;56;AAA;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;10;15
20431151;20;22;BBB;1;1;1;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;4.2;7.5
20273896;60;23;A;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;9;13
20176081;26;24;AAA;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;4.6;8
20562211;24;24;BBB;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;4;6
20279765;27;24;BBB;1;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;2.8;2.8
20176638;24;24;A;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;5;15
20372317;18;24;BBB;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;3.5;4.5
20096908;24;24;AA;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;3.2;17
20081443;20;24;A;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;4.4;3
20793864;36;24;BBB;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;3.5;8.5
20029100;25;24;BBB;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;4.5;7
20497010;21;24;BBB;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;4;7
20274429;12;24;A;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;3.2;2
20071578;27;25;AA;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;6;24
20447256;29;25;BBB;1;1;1;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;8;13.3
20015580;36;25;AA;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;6;9
20043188;36;25;AA;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;5;10
